cell_name	Symbol
Pericyte	Rgs5
Neural stem cell	Sox2
Neuron	Rbfox3
Pericyte	Abcc9
Pericyte	Dlk1
Pericyte	Kcnj8
Astrocyte	Aldh1l1
Astrocyte	Camsap1
NG2-glia cell	F11r
Endothelial cell	Pecam1
Neural stem cell	Jam3
Neural stem cell	Prom1
Oligodendrocyte	Olig2
Microglial cell	Lrp8
Microglial cell	Lpcat3
Microglial cell	Mcoln3
Microglial cell	Stab1
Microglial cell	Mfsd10
Microglial cell	Slco4a1
Microglial cell	Slc30a5
Oligodendrocyte precursor cell	Vcan
Microglial cell	Iba1
Pericyte	Mcam
Pericyte	Vcan
Early neuroblast	Fgf10
Early neuroblast	Six1
Late neuroblast	Isl1
Early neuroblast	Acvr2a
Ventral otocyst	Pax2
Ventral otocyst	Gli1
Dorsal otocyst	Wnt7a
Dorsal otocyst	Dlx5
Dorsal otocyst	Fgfr3
Ventral otocyst	Hes1
Late neuroblast	Fzd10
Ventral otocyst	Otx2
Ventral otocyst	Sox2
Ventral otocyst	Hey2
Early neuroblast	Notch1
Dorsal otocyst	Gbx2
Early neuroblast	Fgf8
Early neuroblast	Hes5
Ventral otocyst	Ntf3
Ventral otocyst	Otx1
Ventral otocyst	Fbxo2
Late neuroblast	Neurog2
Dorsal otocyst	Wnt7b
Dorsal otocyst	Fst
Ventral otocyst	Fzd8
Dorsal otocyst	Inhba
Early neuroblast	Neurog1
Dorsal otocyst	Oc90
Late neuroblast	Neurod1
Ventral otocyst	Lfng
Dorsal otocyst	Emx2
Dorsal otocyst	Gata2
Late neuroblast	Eya2
Dorsal otocyst	Bmp4
Ventral otocyst	Trpm3
Late neuroblast	Jag2
Early neuroblast	Fgf3
Ventral otocyst	Otol1
Dorsal otocyst	Wnt2b
Glial cell	S100a1
Rhombic lip cell	Eomes
Rhombic lip cell	Lmx1a
Rhombic lip cell	Wls
Rhombic lip cell	Atoh1
Rhombic lip cell	Pax6
Neuron	Nfasc
Neuron	Iba1
O cell	Aspa
Neuroblast	Dlx1
O cell	Sox10
Neuroblast	Ccnd2
O cell	Gal3st1
O cell	Mag
Neuroblast	Fxyd6
Neuroblast	Dlx5
O cell	Mog
O cell	Kcna1
Endothelial cell	Kdr
Neuroblast	Pfn2
O cell	Kcna6
Neuroblast	Dlx2
Neuroblast	Foxc1
Neuroblast	Dchs1
Neuroblast	Sox5
Neuroblast	Dlx6os1
Neuroblast	Pou3f3
Neuroblast	Dbn1
Endothelial cell	Fn1
Endothelial cell	Eng
Endothelial cell	Flt1
Neuroblast	Olfm1
Neuroblast	Dlx6
O cell	Mobp
O cell	Olig1
O cell	Cldn11
Endothelial cell	Tek
Neuroblast	Crmp1
Neural stem cell	Slc1a3
Early intermediate precursor cell	Sox11
Neural stem cell	Sox9
Neural stem cell	Gfap
Neural stem cell	Thrsp
Neural stem cell	Fabp7
Early intermediate precursor cell	Eomes
Neural stem cell	Apoe
Precursor cell	Neurod1
Mature olfactory sensory neuron	Omp
Precursor cell	Neurog1
Progenitor cell	Ascl1
Immature olfactory sensory neuron	Gng8
Immature olfactory sensory neuron	Gap43
Olfactory sensory neuron	Ncam1
Olfactory sensory neuron	Omp
Olfactory sensory neuron	Ano2
Olfactory sensory neuron	Cngb1
Olfactory sensory neuron	Neurog1
Olfactory sensory neuron	Cnga4
Olfactory sensory neuron	Cnga2
Olfactory sensory neuron	Adcy3
Olfactory sensory neuron	Gnal
Astrocyte	Atp1b2
Microglial cell	Aif1
Microglial cell	Cx3cr1
Microglial cell	Itgam
Chandelier cell	Ibsp
Interneuron-selective cell	Tpbg
Long-projecting GABAergic cell	B2m
Martinotti cell	Sgcd
Long-projecting GABAergic cell	Opn3
Long-projecting GABAergic cell	Prcd
Martinotti cell	Capn5
Long-projecting GABAergic cell	Kcnmb4
Martinotti cell	Atp2b4
Martinotti cell	Hdac4
Long-projecting GABAergic cell	Slc5a7
Basket cell	Eif5a2
Long-projecting GABAergic cell	Nos1
Long-projecting GABAergic cell	Prex1
Long-projecting GABAergic cell	Arhgef15
Martinotti cell	Lipa
Chandelier cell	Hs3st4
Chandelier cell	Unc5b
Chandelier cell	Errfi1
CCK basket cell	Sntb1
Interneuron-selective cell	Celsr3
Interneuron-selective cell	Egfr
Long-projecting GABAergic cell	Gabrg1
Long-projecting GABAergic cell	Phf24
Martinotti cell	Timp3
Martinotti cell	Adgrb1
CCK basket cell	Cadps2
Long-projecting GABAergic cell	Cnih3
Basket cell	Slit3
CCK basket cell	Eps8
Interneuron-selective cell	Rprm
Martinotti cell	Il34
Interneuron-selective cell	Sema5b
CCK basket cell	Kcnf1
Interneuron-selective cell	Ptms
